epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,0.10328124463558197,,2.5312204360961914,,
0,99,,0.10078124701976776,,2.469093084335327,,
0,109,0.09945856779813766,,2.607187509536743,,,
1,149,,0.10453125089406967,,2.410604476928711,,
1,199,,0.09703125059604645,,2.3731777667999268,,
1,219,0.10102999955415726,,2.407099723815918,,,
2,249,,0.10390624403953552,,2.346095323562622,,
2,299,,0.10999999940395355,,2.328542470932007,,
2,329,0.10317143052816391,,2.3375399112701416,,,
3,349,,0.10515625029802322,,2.3210113048553467,,
3,399,,0.10890624672174454,,2.31141996383667,,
3,439,0.1066785678267479,,2.3152332305908203,,,
4,449,,0.10578124970197678,,2.309725284576416,,
4,499,,0.11015624552965164,,2.3015639781951904,,
4,549,,0.11791666597127914,,2.291287660598755,,
4,549,,,,,0.11264285445213318,2.3037664890289307
4,549,0.11663571745157242,,2.303210973739624,,,
5,599,,0.12578125298023224,,2.29438853263855,,
5,649,,0.1315625011920929,,2.29256534576416,,
5,659,0.12625429034233093,,2.2943179607391357,,,
6,699,,0.1326562464237213,,2.2910966873168945,,
6,749,,0.13593749701976776,,2.281522274017334,,
6,769,0.13455285131931305,,2.286115884780884,,,
7,799,,0.13750000298023224,,2.278047800064087,,
7,849,,0.13750000298023224,,2.281722068786621,,
7,879,0.13963571190834045,,2.278475284576416,,,
8,899,,0.13734374940395355,,2.278562307357788,,
8,949,,0.140625,,2.273391008377075,,
8,989,0.1438542902469635,,2.2726261615753174,,,
9,999,,0.1407812535762787,,2.273284912109375,,
9,1049,,0.14562499523162842,,2.2710142135620117,,
9,1099,,0.15916666388511658,,2.264577865600586,,
9,1099,,,,,0.146171435713768,2.2674081325531006
9,1099,0.14598429203033447,,2.269091844558716,,,
10,1149,,0.14406250417232513,,2.272299289703369,,
10,1199,,0.14921875298023224,,2.2663674354553223,,
10,1209,0.14823570847511292,,2.266371965408325,,,
11,1249,,0.15078124403953552,,2.262821674346924,,
11,1299,,0.16078124940395355,,2.250993013381958,,
11,1319,0.1553657203912735,,2.256978750228882,,,
12,1349,,0.1717187464237213,,2.2278079986572266,,
12,1399,,0.20499999821186066,,2.1817078590393066,,
12,1429,0.18816427886486053,,2.202192544937134,,,
13,1449,,0.2692187428474426,,2.0434439182281494,,
13,1499,,0.36937499046325684,,1.7979720830917358,,
13,1539,0.3483585715293884,,1.8469616174697876,,,
14,1549,,0.524218738079071,,1.3997665643692017,,
14,1599,,0.6506249904632568,,1.0498347282409668,,
14,1649,,0.7395833730697632,,0.8155602216720581,,
14,1649,,,,,0.838185727596283,0.6090643405914307
14,1649,0.6339957118034363,,1.1093087196350098,,,
15,1699,,0.8039062023162842,,0.6235744953155518,,
15,1749,,0.8687499761581421,,0.42421793937683105,,
15,1759,0.8129242658615112,,0.5948061347007751,,,
16,1799,,0.8948437571525574,,0.32987120747566223,,
16,1849,,0.9093749523162842,,0.27288973331451416,,
16,1869,0.8975685834884644,,0.3221473693847656,,,
17,1899,,0.9184374809265137,,0.24874457716941833,,
17,1949,,0.9262499809265137,,0.21650783717632294,,
17,1979,0.9219899773597717,,0.23385277390480042,,,
18,1999,,0.93031245470047,,0.20944470167160034,,
18,2049,,0.9298437237739563,,0.20274707674980164,,
18,2089,0.9306313991546631,,0.20089785754680634,,,
19,2099,,0.9334374666213989,,0.1918657124042511,,
19,2149,,0.9379687309265137,,0.1784147471189499,,
19,2199,,0.9262500405311584,,0.20853175222873688,,
19,2199,,,,,0.9999714493751526,0.001318914582952857
19,2199,0.93446284532547,,0.18601909279823303,,,
20,2249,,0.9350000023841858,,0.18089225888252258,,
20,2299,,0.9362499713897705,,0.17680421471595764,,
20,2309,0.9377185702323914,,0.17478512227535248,,,
21,2349,,0.9404687285423279,,0.16816934943199158,,
21,2399,,0.9467187523841858,,0.14776866137981415,,
21,2419,0.9407342672348022,,0.1649308204650879,,,
22,2449,,0.9424999952316284,,0.157898411154747,,
22,2499,,0.9448437094688416,,0.15051791071891785,,
22,2529,0.9435528516769409,,0.15573501586914062,,,
23,2549,,0.9415624737739563,,0.16348935663700104,,
23,2599,,0.9451562166213989,,0.15211546421051025,,
23,2639,0.9466999769210815,,0.1478121131658554,,,
24,2649,,0.9490624666213989,,0.136155366897583,,
24,2699,,0.9453125,,0.15124939382076263,,
24,2749,,0.95291668176651,,0.12913620471954346,,
24,2749,,,,,0.9999856948852539,0.0003856060793623328
24,2749,0.9502642750740051,,0.13670378923416138,,,
25,2799,,0.9528124928474426,,0.12749528884887695,,
25,2849,,0.9560937285423279,,0.1162918210029602,,
25,2859,0.9537557363510132,,0.12360461056232452,,,
